"","var.id","DryWeight_Leaves_g","DryWeight_Shoot_g","FreshWeight_Shoot_g","FreshWeight_Leaves_g","GrowthStage","NumberOfNodes","NumberOfTillers","PlantHeight_cm","TillerLength_cm"
"W1.054","GmWMC108",18.5677139458925,30.777923455305,104.377172708884,55.7065589746448,4.95809110301382,5.6262810145511,12.8946608477057,47.4516341997035,29.0018894502908
"W1.055","GmJMC056",20.3538099698771,37.6025283744256,132.826912696633,64.0860062686959,4.95809110301383,5.96218592126191,12.2015944566541,41.9177293923903,26.0897613393456
"W1.056","GmWMC166",25.7039049408035,53.1772776452137,206.675654985363,89.3111818015647,2.16645881583927,7.96629302234061,15.4902976160265,62.1692295734498,53.2242380905593
"W1.057","Houjaku Kuwazu",43.3436514529083,61.0244854268168,243.554807999946,144.674870270291,4.4795426195036,6.96990064139435,11.8550612611283,46.2130516498443,46.0586398143979
"W1.058","GmWMC163",23.907873792534,66.6082936357902,258.976723964852,79.8104818827778,1.24873498461591,8.47210146770514,12.8387995356871,53.8129211966617,35.4146773338839
"W1.059","GmJMC095",21.9104991650931,40.3548531000433,145.186534837006,64.5708274851911,3.04389716897293,4.28266138770784,10.815461674551,47.2110296428638,30.6659626565451
"W1.060","GmJMC172",23.907873792534,65.698723333696,278.286099849891,139.725352179504,2.08680020195248,8.31352026823761,16.0134596074377,45.5267977449859,66.4435365910138
"W1.061","GmJMC003",12.4556605794131,40.4672668898907,142.703305876486,40.5757953374593,5.91518807003429,5.6262810145511,9.08279569692204,26.5190377546491,26.9217979424728
"W1.062","GmWMC174",29.1532004733609,50.5482454632995,210.500355129411,104.615612740181,1.60825171844224,7.97761536152679,15.6669264119119,54.9103754617345,44.8105849097071
"W1.063","GmJMC085",40.9430728518648,56.789023925471,219.069190723072,126.237191768355,3.04389716897293,6.63399573468353,11.8550612611283,56.3540028027727,29.4179077518544
"W1.064","GmJMC078",23.5409262695561,58.616654573312,192.86905269197,71.2280740400503,4.95809110301383,7.64171045481598,13.2411940432314,49.1358660975814,30.2499443549815
"W1.065","GmJMC179",32.0453651360516,72.4290457193963,314.667853436874,120.028585742192,2.08680020195248,8.3135202682376,15.6669264119119,62.1285121669256,53.9629875441061
"W1.066","GmWMC119",25.87596006238,57.5904254595442,205.30403838198,76.4815099083414,4.95809110301384,6.29809082797272,13.2411940432314,47.2110296428638,38.1542920846897
"W1.067","GmJMC126",42.6963964717396,68.9913595008381,253.61961005389,130.774250018242,3.04389716897292,7.64171045481598,13.2411940432314,50.7630983881179,31.0819809581087
"W1.068","GmWMC182",24.8518224339484,43.0092690409553,164.626562465721,80.9896236079907,1.60825171844224,10.6648546152133,17.0530591940151,57.5570255869712,50.6348411315974
"W1.069","GmWMC019",9.97315096809503,30.168713239358,107.49345548635,37.7030487262863,5.91518807003429,5.96218592126191,13.2411940432314,34.6995926871989,31.4979992596723
"W1.070","GmJMC177",29.8004554545296,66.8409924885967,239.097054038952,98.6602715286061,2.56534868546271,7.97761536152679,16.3599928029635,49.3764706544212,51.4668777347246
"W1.071","GmWMC127",24.7371190195641,52.6623499626871,210.922391007375,91.7642324342791,2.5653486854627,7.64171045481598,16.0134596074377,49.6170752112609,44.3945666081436
"W1.072","GmWMC115",23.907873792534,59.4226395120766,213.2880847753,79.8104818827778,3.08418264706263,8.47210146770514,16.0205972320944,47.7585909892036,41.826119206287
"W1.073","GmWMC038",9.51433731055771,34.429307314552,130.218931097949,39.4469578781571,5.8373541407327,3.9198254594244,11.2479006874834,25.6091374748151,22.5917935890776
"W1.074","GmJMC021",17.4862246102688,44.097144426575,160.673744287291,53.7455656959852,5.91518807003429,6.96990064139435,10.4689284790252,38.789870153474,26.5057796409092
"W1.075","GmWMC160",15.8394113037509,33.3960768833629,126.94478764751,53.8975245847374,1.12970323493203,8.3135202682376,13.934260434283,43.6019612902682,32.3300358627995
"W1.076","GmJMC055",19.1002655126769,39.9124504432247,145.785675056616,57.3274537880018,4.95809110301383,6.96990064139435,10.4689284790252,42.3989385060696,25.6737430377821
"W1.077","GmWMC046",10.5548611410441,35.77852397787,122.426742846807,34.837538252673,5.91518807003429,5.29037610784028,11.1619948700767,35.9026154713974,32.3300358627995
"W1.078","GmJMC030",11.6117711735855,31.7678900562188,110.760465363089,41.5164932202111,5.91518807003429,3.94675648099703,10.815461674551,27.9626650956873,25.673743037782
"W1.079","GmWMC070",11.0710265057736,40.1445305254902,145.209143901897,39.2009292011297,5.43663958652406,3.61085157428621,12.8946608477057,38.3086610397947,34.4101273706174
"W1.080","GmJMC092",33.6512129374322,66.8482449911674,251.513198841552,100.353527717559,4.95809110301384,6.29809082797272,11.1619948700767,50.8200979954593,27.3378162440364
"W1.081","GmJMC180",17.2158522763629,38.8825950781714,141.248789368503,57.0524805607359,3.04389716897292,4.95447120112947,16.7065259984893,63.8127440648036,72.267792812904
"W1.082","GmJMC104",25.7120980418309,42.5451088764243,154.678573913714,82.9650891617695,4.00099413599338,7.97761536152679,11.1619948700767,53.2261435638565,31.0819809581087
"W1.083","GmWMC089",17.1175350640335,47.6472444349805,186.041115094911,54.9105838430855,5.91518807003429,6.63399573468354,11.8550612611283,34.6044125422312,21.5135600221461
"W1.084","5002T",15.7410940914215,35.3034850594827,119.061760355541,48.904589668593,4.95809110301384,7.97761536152679,11.5085280656025,33.9571677454133,19.8494868158918
"W1.085","GmWMC020",23.907873792534,48.7486344873182,187.329317246177,79.8104818827778,4.0231716949675,6.9082868414822,12.6568015061784,46.2130516498443,36.4417663506053
"W1.086","GmWMC156",19.8540308072025,45.1741410583384,189.375952166322,74.4264468414066,2.08680020195248,7.97761536152679,13.934260434283,44.3237749607873,36.906237179999
"W1.087","GmJMC096",30.8327861839886,67.4864652173976,250.175495835506,94.1376855538376,3.52244565248316,8.64942517494842,13.5877272387572,47.911565591785,33.9941090690538
"W1.088","GmJMC093",24.5650638979876,46.5847528083586,178.256060417468,79.8104818827778,3.52244565248315,6.96990064139435,12.8946608477057,50.8200979954594,31.9140175612359
"W1.089","GmWMC169",14.3728462198369,37.6641746462774,133.983743183552,45.4167713648515,4.95809110301383,3.94675648099703,9.77586208797361,43.8425658471079,31.0819809581087
"W1.090","GmWMC134",10.8334265759775,28.2540525606674,103.431360160947,43.4774864988708,4.95809110301383,8.98533008165923,11.5085280656025,27.4814559820078,35.6581822753082
"W1.091","GmWMC120",19.5754653722692,34.8719611565203,123.83980940249,64.0353533057785,3.04389716897294,4.95447120112947,12.8946608477057,52.0231207796579,43.1465117034528
"W1.092","GmJMC080",25.2205119801838,59.9764988053366,233.768851079657,84.9116101653099,4.00099413599338,7.64171045481598,10.815461674551,50.33888888178,29.8339260534179
"W1.093","GmJMC100",33.0367303603733,62.525753458972,243.532198935055,79.8104818827778,3.52244565248315,8.64942517494842,11.8550612611283,48.8952615407417,31.4979992596723
"W1.094","GmWMC140",19.4853412609672,32.4822615594424,127.981036455011,71.9444516584536,2.08680020195248,5.96218592126191,13.934260434283,46.4892159723447,29.0018894502908
"W1.095","GmJMC145",31.1195447199495,54.5008593643843,198.163342053929,98.486604227175,3.04389716897293,4.95447120112947,13.2411940432314,69.3466488721168,54.3790058456697
"W1.096","GmJMC098",24.1963743517523,54.4355868412471,217.102202077562,82.6611713842651,3.04389716897293,5.96218592126191,13.2411940432314,52.9855390070168,36.906237179999
